Fórmula,Disponibilidad,Orden,Nombre,Descripción,Imagen,Precio,Etapa,Categoría,Tamaño,Ancho,Largo,Alto,Diametro,Motores,Operación y Requerimientos,Imagen_1,Imagen_2,Imagen_3,Imagen_4,Imagen_5,Sucursal,Participantes,Rango_edad,Operador,Motores_sopladores,mostrar en sitio,Inventario,BambinosID,ID de Sucursal,ID de Categoría,Número de Juego,Fecha Lanzamiento,Duracion,Popular
Jeep ComandoGuadalajara,in stock,81,Jeep Comando,-,https://i.imgur.com/IOkpYOo.png,"$1,880","Niños, Adolescentes, Adultos",Interactivo,Grande,6.8,5.5,4,0,impulsado por 1 motor,-,https://i.imgur.com/ZWSL1ZQ.png,https://i.imgur.com/mHLocLL.png,https://i.imgur.com/1b7uaSA.png,https://i.imgur.com/gZmngFt.png,https://i.imgur.com/de5SxsL.png,Guadalajara,Apto para 12 participantes,mayores de 4 años.,No,1,Si,1,1014441082,101,444,1082,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Bubba JumpGuadalajara,in stock,82,Bubba Jump,"Evita el aburrimiento y la insolación con nuestro brincolín protegido por malla sombra alrededor, para más ventilación y en el techo para mayor protección.",https://i.imgur.com/Chue4D7.png,"$1,880","Infantes, Niños, Adolescentes",Interactivo,Mediano,7.5,5,4,0,impulsado por 1 motor,-,https://i.imgur.com/16eSRmD.png,https://i.imgur.com/tAicbJg.png,https://i.imgur.com/yLMjGD4.png,https://i.imgur.com/A2HY1uU.png,https://i.imgur.com/5vJe4U5.png,Guadalajara,Apto para 12 participantes,mayores de 3 años.,No,1,Si,1,1014441064,101,444,1064,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Mini IslaGuadalajara,in stock,83,Mini Isla,-,https://i.imgur.com/RR5vlF6.png,"$1,380",Niños,Interactivo,Chico,5,5,3,0,impulsado por 1 motor soplador,-,https://i.imgur.com/mcdUjry.png,https://i.imgur.com/L1j0Bia.png,https://i.imgur.com/u5XLohY.png,https://i.imgur.com/1FUhW80.png,https://i.imgur.com/aE27QrF.png,Guadalajara,Apto para 8 participantes,mayores de 4 años.,No,1,Si,2,1014441175,101,444,1175,2/3/2023,Precio de renta por evento de 5 a 6 horas.,FALSE
Compy ComboGuadalajara,in stock,84,Compy Combo,-,https://i.imgur.com/aIYFT8U.png,"$1,380",Niños,Interactivo,Chico,5,5,2.8,0,impulsado por 1 motor soplador,-,https://i.imgur.com/bIjiUzz.png,https://i.imgur.com/Vr8eRd8.png,https://i.imgur.com/6CrIizR.png,https://i.imgur.com/pwXA9k1.png,https://i.imgur.com/4cLN4uR.png,Guadalajara,Apto para 8 participantes,mayores de 4 años.,No,1,Si,1,1014441174,101,444,1174,2/3/2023,Precio de renta por evento de 5 a 6 horas.,FALSE
BrincoescaladoraGuadalajara,in stock,85,Brincoescaladora,"Para los más intrépidos aventureros que quieres horas de diversión en su próxima fiesta, este Brincolín es la opción ideal. Con área de Salto, obstáculos y rampa tus Bambinos se divertirán sin parar.",https://i.imgur.com/nlxBjnR.png,"$1,480","Infantes, Niños",Interactivo,Mediano,5.7,5,3.2,0,impulsado por 1 motor,-,https://i.imgur.com/wfEOCfg.png,https://i.imgur.com/PJuPKb1.png,https://i.imgur.com/XpdZAQu.png,https://i.imgur.com/NeQyj5y.png,https://i.imgur.com/ORBQnOu.png,Guadalajara,Apto para 15 participantes,mayores de 3 años.,No,1,Si,3,1014441063,101,444,1063,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Coco SlideGuadalajara,in stock,86,Coco Slide,"La bestia de la diversión en todo su esplendor. Un Brincolín que al verlo, tus pequeños darán un grito de emoción y no querrán bajar.",https://i.imgur.com/LcTNbMm.png,"$1,480","Infantes, Niños",Interactivo,Mediano,6.5,3.4,2.8,0,impulsado por 1 motor,-,https://i.imgur.com/uR7LVi7.png,https://i.imgur.com/WBTQAq9.png,https://i.imgur.com/EgY1gSq.png,https://i.imgur.com/2LG3b8D.png,https://i.imgur.com/FxFyGLV.png,Guadalajara,Apto para 12 participantes,mayores de 5 años.,No,1,Si,1,1014441071,101,444,1071,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
In tunel ComboGuadalajara,in stock,87,In tunel Combo,-,https://i.imgur.com/giKrJlK.png,"$1,480","Infantes, Niños",Interactivo,Mediano,6,5,3.4,0,impulsado por 1 motor,-,https://i.imgur.com/ilHb3Z7.png,https://i.imgur.com/KfQiaPI.png,https://i.imgur.com/KfQiaPI.png,https://i.imgur.com/nhASxlo.png,https://i.imgur.com/uTBf1Z0.png,Guadalajara,Apto para 12 participantes,mayores de 5 años.,No,1,Si,3,1014441080,101,444,1080,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Interactivo PlusGuadalajara,in stock,88,Interactivo Plus,-,https://i.imgur.com/I189FiA.png,"$1,880","Infantes, Niños",Interactivo,Mediano,6,4.5,2.5,0,impulsado por 1 motor,-,https://i.imgur.com/Fx1o3l8.png,https://i.imgur.com/r3tH9qv.png,https://i.imgur.com/sXfOSFR.png,https://i.imgur.com/jW2H4X3.png,https://i.imgur.com/qXMS9UQ.png,Guadalajara,Apto para 12 participantes,mayores de 5 años.,No,1,Si,3,1014441081,101,444,1081,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Zig ZagGuadalajara,in stock,89,Zig Zag,-,https://i.imgur.com/QuDpQMO.png,"$1,410","Niños, Adolescentes",Interactivo,Mediano,7,4,3.7,0,impulsado por 1 motor,-,https://i.imgur.com/vkLBK1G.png,https://i.imgur.com/I5lbL9g.png,https://i.imgur.com/MpfXCz8.png,https://i.imgur.com/qPS3mar.png,https://i.imgur.com/rfEmsiR.png,Guadalajara,Apto para 12 participantes,mayores de 5 años.,No,1,Si,5,1014441097,101,444,1097,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Isla PalmerasGuadalajara,in stock,90,Isla Palmeras,-,https://i.imgur.com/uWpdfcG.png,"$1,380","Infantes, Niños",Interactivo,Mediano,5,4.4,3.6,0,impulsado por 1 motor soplador,-,https://i.imgur.com/CRuPVSG.png,https://i.imgur.com/Z7No2hD.png,https://i.imgur.com/Y5SUFGs.png,https://i.imgur.com/t0G17sc.png,https://i.imgur.com/kGeyfAn.png,Guadalajara,Apto para 10 participantes,mayores de 5 años.,No,1,Si,1,1014441141,101,444,1141,2/2/2021,Precio de renta por evento de 5 a 6 horas.,FALSE
