Fórmula,Disponibilidad,Orden,Nombre,Descripción,Imagen,Precio,Etapa,Categoría,Tamaño,Ancho,Largo,Alto,Diametro,Motores,Operación y Requerimientos,Imagen_1,Imagen_2,Imagen_3,Imagen_4,Imagen_5,Sucursal,Participantes,Rango_edad,Operador,Motores_sopladores,mostrar en sitio,Inventario,BambinosID,ID de Sucursal,ID de Categoría,Número de Juego,Fecha Lanzamiento,Duracion,Popular
Cabina de BateoGuadalajara,in stock,1,Cabina de Bateo,NUEVO. Lleva la diversión de una tarde de Baseball directo hasta tu fiesta. Puedes dar tus mejores home runs sin salir de la fiesta.,https://i.imgur.com/mwaRXz4.png,"$5,900","Niños, Adolescentes, Adultos",Mecánicos,Grande,5,14,4,0,"Impulsado por 1 motor + 1 máquina de disparo de pelotas de Soft-Ball",Controlado por 2 operadores,https://i.imgur.com/tMfVFke.png,https://i.imgur.com/Ipzevln.png,https://i.imgur.com/k98BDkf.png,https://i.imgur.com/tMfVFke.png,https://i.imgur.com/Ipzevln.png,Guadalajara,Con capacidad de 1 participante a la vez,mayores de 5 años.,Si,3,Si,1,1015551197,101,555,1197,2/2/2026,Precio de renta por 3 horas de servicio. Operación entre 9am y 9pm.,FALSE
SpiroGuadalajara,in stock,2,Spiro,El Spinner evolucionó para que el juego sea aún más desafiante. Cruza el laberinto en espiral mientras esquivas los obstáculos giratorios.,https://i.imgur.com/RTYI9jh.png,"$4,320",Adultos,Mecánicos,Grande,0,0,2.5,10,Impulsado por 2 motores sopladores más un control para manejo del juego.,Controlado por un operador.,https://i.imgur.com/5KZjjF7.png,https://i.imgur.com/cqxrKPO.png,https://i.imgur.com/5KZjjF7.png,https://i.imgur.com/cqxrKPO.png,https://i.imgur.com/5KZjjF7.png,Guadalajara,Apto para 2 participantes a la vez ,Mayores de 8 años.,Si,3,Si,1,1015551194,101,555,1194,4/4/2025,Precio por 4 horas de servicio con operación entre 9am y 9pm.,FALSE
Dino Rex MecánicoGuadalajara,in stock,3,Dino Rex Mecánico,Olvídate del Salvaje Oeste y mejor diviértanse en el Salvaje Jurásico. Doma al Velocirraptor dentro de la Jaua del Dino Rex. ¿Podrás lograrlo?,https://i.imgur.com/nKE4aea.png,"$3,980",Niños,Mecánicos,Mediano,4.4,4,5.2,0,impulsado por un motor soplador y control de uso rudo,manipulado por un operador.,https://i.imgur.com/jaNvtyD.png,https://i.imgur.com/AMm7IMg.png,https://i.imgur.com/jD79HyG.png,https://i.imgur.com/2L95XLq.png,https://i.imgur.com/AMm7IMg.png,Guadalajara,Con capacidad de 1 (un) participante de hasta 120kg,mayores de 5 años.,Si,2,Si,1,1015551189,101,555,1189,1/10/2024,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Bungee JumpGuadalajara,in stock,4,Bungee Jump,La adrenalina hasta el cielo con total seguridad. Arnéses profesionales de uso para escalado para mayor seguridad.,https://i.imgur.com/ZoHubzt.png,"$4,200","Niños, Adolescentes, Adultos",Mecánicos,Grande,6,6,6,0,accionado con 1 motor,Controlado por un operador.,https://i.imgur.com/54E0TrG.png,https://i.imgur.com/54E0TrG.png,https://i.imgur.com/54E0TrG.png,https://i.imgur.com/54E0TrG.png,https://i.imgur.com/54E0TrG.png,Guadalajara,Con capacidad de 1 participante de 90kg,mayor de 4 años.,Si,1,Si,4,1015551099,101,555,1099,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
SpinnerGuadalajara,in stock,5,Spinner,-,https://i.imgur.com/cNY6BMH.png,"$3,700","Niños, Adolescentes, Adultos",Mecánicos,Grande,0,0,1.2,8,impulsado por 2 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/D8hdHxs.png,https://i.imgur.com/D8hdHxs.png,https://i.imgur.com/D8hdHxs.png,https://i.imgur.com/6hNaXeg.png,https://i.imgur.com/D8hdHxs.png,Guadalajara,Con capacidad de 6 participantes,mayores de 5 años.,Si,1,Si,5,1015551151,101,555,1151,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Bull KingGuadalajara,in stock,6,Bull King,-,https://i.imgur.com/fVIlaZ4.png,"$3,480","Niños, Adolescentes, Adultos",Mecánicos,Mediano,4,4,3,0,impulsado por 1 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/r0zjUjT.png,https://i.imgur.com/LW054LV.png,https://i.imgur.com/ekmI7yJ.png,https://i.imgur.com/ekmI7yJ.png,https://i.imgur.com/hSW98Dm.png,Guadalajara,Con capacidad de 1 participante de 120kg,mayores de 5 años.,Si,1,Si,3,1015551098,101,555,1098,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Chile MecánicoGuadalajara,in stock,7,Chile Mecánico,-,https://i.imgur.com/tRPicXL.png,"$3,480","Niños, Adolescentes, Adultos",Mecánicos,Mediano,4.5,4,2.5,0,impulsado por 1 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/eGQA4NQ.png,https://i.imgur.com/eGQA4NQ.png,https://i.imgur.com/eGQA4NQ.png,https://i.imgur.com/eGQA4NQ.png,https://i.imgur.com/eGQA4NQ.png,Guadalajara,Con capacidad de 1 participante de 120kg,mayores de 5 años.,Si,1,Si,1,1015551100,101,555,1100,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,TRUE
Toro SevillanoGuadalajara,in stock,8,Toro Sevillano,NUEVO. Vive la experiencia de un verdadero rodeo Español montando un toro sevillano. Diversión y tradición segura.,https://i.imgur.com/NvRy14k.png,"$3,480","Niños, Adolescentes, Adultos",Mecánicos,Grande,4.5,4.4,2.5,0,impulsado por 1 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/bHZwl33.png,https://i.imgur.com/BreqWPy.png,https://i.imgur.com/bHZwl33.png,https://i.imgur.com/BreqWPy.png,https://i.imgur.com/bHZwl33.png,Guadalajara,Con capacidad de 1 participante de 120kg,mayores de 5 años.,Si,1,Si,1,1015551196,101,555,1196,20/1/2026,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Toro JaripeoGuadalajara,in stock,9,Toro Jaripeo,El Toro de siempre... La diversión como nunca. El complemento ideal para tu fiesta donde se pueden subir chicos y grandes.,https://i.imgur.com/iXD1T8e.png,"$3,480","Niños, Adolescentes, Adultos",Mecánicos,Mediano,4.5,4.4,2.5,0,impulsado por 1 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/d9XOCZG.png,https://i.imgur.com/GkShmjp.png,https://i.imgur.com/vHH0JH6.png,https://i.imgur.com/0EK8j4e.png,https://i.imgur.com/vHH0JH6.png,Guadalajara,Con capacidad de 1 participante de 120kg,mayores de 5 años.,Si,1,Si,2,1015551102,101,555,1102,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Tabla de SurfGuadalajara,in stock,10,Tabla de Surf,"Para los más aventureros, si no puedes ir al mar, trae el mar a la fiesta. Ideal para decoraciones de fiestas Hawaiianas o de playa.",https://i.imgur.com/jYrMni9.png,"$3,700","Niños, Adolescentes, Adultos",Mecánicos,Mediano,4,3.9,3.5,0,impulsado por 1 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/io74V18.png,https://i.imgur.com/oesTZaq.png,https://i.imgur.com/NTvpaZH.png,https://i.imgur.com/Cy3CGE6.png,https://i.imgur.com/oHSo0MM.png,Guadalajara,Con capacidad de 1 participante de 120kg,mayores de 5 años.,Si,2,Si,1,1015551145,101,555,1145,4/6/2021,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Parkour ChallengeGuadalajara,in stock,11,Parkour Challenge,NUEVO. ¿Eres capaz de conseguir el menor tiempo en una vuelta pasando todos los obstáculos? el Nuevo Parkour Challenge.,https://i.imgur.com/WOqRCff.png,"$6,890","Niños, Adolescentes, Adultos",Destreza,Grande,5,9.5,6,0,impulsado por 2 motores,Controlado por 1 operador. Requiere mínimo de altura.,https://i.imgur.com/4i6p9Sk.png,https://i.imgur.com/CpT1Nz6.png,https://i.imgur.com/JUKIfow.png,https://i.imgur.com/oRrBAR4.png,https://i.imgur.com/nn9EJEe.png,Guadalajara,Con capacidad de 1 participante a la vez,mayores de 7 años.,Si,2,Si,1,1013331198,101,333,1198,10/3/2026,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,TRUE
Combat Zone Blaster 12x15Guadalajara,in stock,12,Combat Zone Blaster 12x15,-,https://i.imgur.com/egd08V6.png,"$13,500","Niños, Adolescentes, Adultos",Destreza,Grande,15,12,0,0,Impulsado por 2 motores,A cargo de 3 miembros de Staff de Carga y asignación de Blasters.,https://i.imgur.com/ofVzO4e.png,https://i.imgur.com/LG9ZWfZ.png,https://i.imgur.com/w8PHAaM.png,https://i.imgur.com/8Az25Ly.png,https://i.imgur.com/qr3nJ4l.png,Guadalajara,Apto para 10 participantes a la vez,Mayores de 8 años.,Si,6,Si,1,1013331185,101,333,1185,1/8/2024,Precio de renta por evento de 3 horas.,TRUE
Nano Zone Blaster 10x12Guadalajara,in stock,13,Nano Zone Blaster 10x12,-,https://i.imgur.com/gL3AFdi.png,"$11,500","Niños, Adolescentes, Adultos",Destreza,Grande,12,10,0,0,Impulsado por 2 motores,A cargo de 3 miembros de Staff de Carga y asignación de Blasters.,https://i.imgur.com/MVOX4Mt.png,https://i.imgur.com/LG9ZWfZ.png,https://i.imgur.com/El9DlsT.png,https://i.imgur.com/8Az25Ly.png,https://i.imgur.com/MVOX4Mt.png,Guadalajara,Apto para 10 participantes a la vez,Mayores de 8 años.,Si,6,Si,1,1013331186,101,333,1186,1/8/2024,Precio de renta por evento de 3 horas.,TRUE
Bunkers Blaster ZoneGuadalajara,in stock,14,Bunkers Blaster Zone,-,https://i.imgur.com/9NLKG97.png,"$9,500","Niños, Adolescentes, Adultos",Destreza,Grande,0,0,0,0,Piezas infladas por Motor independiente,A cargo de 3 miembros de Staff de Carga y asignación de Blasters.,https://i.imgur.com/El9DlsT.png,https://i.imgur.com/3dD7PuF.png,https://i.imgur.com/oIYfAtx.png,https://i.imgur.com/El9DlsT.png,https://i.imgur.com/3dD7PuF.png,Guadalajara,Apto para 10 participantes a la vez,Mayores de 8 años.,Si,2,Si,1,1013331190,101,333,1190,1/8/2024,Precio de renta por evento de 3 horas.,FALSE
Zorb Ball PistaGuadalajara,in stock,15,Zorb Ball Pista,El juego de las Esferas evolucionó con una nueva pista. Parece fácil pero el nivel incrementa en cada paso. ¿Lograrás vencer a tu contrincante?,https://i.imgur.com/ZIpqpsB.png,"$5,490",Adultos,Destreza,Extra grande,24.5,12,3,0,impulsado por 2 motores sopladores + 2 Sopladoras para inflar las esferas,Controlado por 2 operadores,https://i.imgur.com/teijnJp.png,https://i.imgur.com/NS65NVr.png,https://i.imgur.com/sj0d0ZH.png,https://i.imgur.com/teijnJp.png,https://i.imgur.com/NS65NVr.png,Guadalajara,Apto para 2 participantes a la vez ,mayores de 10 años.,Si,4,Si,1,1013331193,101,333,1193,20/3/2025,Precio de renta por evento de 3 horas.,FALSE
Mini GolfGuadalajara,in stock,16,Mini Golf,-,https://i.imgur.com/djm2yRJ.png,"$7,390",Niños,Destreza,Grande,0,0,0,12,Impulsado por 2 motores de 2Hp,Controlado por 2 operadores,https://i.imgur.com/1phusPK.png,https://i.imgur.com/UCrBKdi.png,https://i.imgur.com/1phusPK.png,https://i.imgur.com/UCrBKdi.png,https://i.imgur.com/1phusPK.png,Guadalajara,Apto para 9 participantes a la vez,mayores de 8 años.,Si,2,Si,1,1013331181,101,333,1181,28/2/2024,Precio de renta por evento de 4 horas,TRUE
Boliche HumanoGuadalajara,in stock,17,Boliche Humano,Sé la Bola... y derriba todos los pinos inflables en tu primer intento. ¿Lo lograrás?,https://i.imgur.com/uQtUmvZ.png,"$4,180","Niños, Adolescentes, Adultos",Destreza,Grande,15,5,2.5,0,impulsado con 1 motor y una sopladora para inflar las esferas.,Controlado por un operador.,https://i.imgur.com/75T3fED.png,https://i.imgur.com/9t02Qbg.png,https://i.imgur.com/75T3fED.png,https://i.imgur.com/9t02Qbg.png,https://i.imgur.com/75T3fED.png,Guadalajara,Con capacidad de 1 participante cada tiro,mayores de 10 años.,Si,2,Si,1,1013331039,101,333,1039,29/10/2020,Precio de renta por 3 horas de servicio. Operación entre 9am y 9pm. Incluye 6 pinos inflables de 3m.,FALSE
Cash ChamberGuadalajara,in stock,18,Cash Chamber,-,https://i.imgur.com/oVzJy4j.png,"$1,890",Niños,Destreza,Mediano,3,1.5,3,0,impulsado con 2 motores.,-,https://i.imgur.com/CjcdLvf.png,https://i.imgur.com/0y9iOpL.png,https://i.imgur.com/CjcdLvf.png,https://i.imgur.com/0y9iOpL.png,https://i.imgur.com/CjcdLvf.png,Guadalajara,Apto para 1 participante a la vez,mayores de 8 años.,Si,2,Si,1,1013331182,101,333,1182,28/2/2024,Precio de renta por evento de 4 horas,FALSE
Montaña RappelGuadalajara,in stock,19,Montaña Rappel,-,https://i.imgur.com/7WvIB8e.png,"$4,600","Niños, Adolescentes, Adultos",Destreza,Grande,5.8,5.8,7.5,0,impulsado con 2 motores,Controlado por 2 operadores,https://i.imgur.com/iHQqzlA.png,https://i.imgur.com/j6ZOjoI.png,https://i.imgur.com/mFc4PkY.png,https://i.imgur.com/ouMw7YQ.png,https://i.imgur.com/PqZzu4V.png,Guadalajara,Con capacidad de 2 participantes hasta 90kg,mayores de 5 años.,Si,2,Si,1,1013331048,101,333,1048,29/10/2020,Precio de renta por 3 horas de servicio. Operación entre 9am y 9pm.,FALSE
Play DomoGuadalajara,in stock,20,Play Domo,-,https://i.imgur.com/UIR0odw.png,"$3,450","Niños, Adolescentes, Adultos",Destreza,Grande,10.2,7,4.7,0,impulsado con 2 motores.,-,https://i.imgur.com/FaEHtE0.png,https://i.imgur.com/xImJH0F.png,https://i.imgur.com/ldw3ETh.png,https://i.imgur.com/uT3ejep.png,https://i.imgur.com/LBl4w1X.png,Guadalajara,apto para 12 participantes por partido,mayores de 5 años.,No,2,Si,2,1013331051,101,333,1051,29/10/2020,Precio de renta por evento de 5 a 6 horas. No incluye balón.,FALSE
Ninja RallyGuadalajara,in stock,21,Ninja Rally,-,https://i.imgur.com/Am37OAn.png,"$3,320","Niños, Adolescentes, Adultos",Destreza,Grande,10,6,3.2,0,impulsado con 2 motores.,-,https://i.imgur.com/p4Pv7IM.png,https://i.imgur.com/3FL2fT4.png,https://i.imgur.com/BVFr5Or.png,https://i.imgur.com/BVFr5Or.png,https://i.imgur.com/3FL2fT4.png,Guadalajara,Apto para 2 participantess a la vez,mayores de 7 años.,No,2,Si,1,1013331049,101,333,1049,29/10/2020,Precio de renta por evento de 5 a 6 horas.,TRUE
Big BollerGuadalajara,in stock,22,Big Boller,¿Podrás cruzar las 4 esferas en un solo intento? Muchos lo han intentado y muy pocos lo han logrado.,https://i.imgur.com/8zuDDjL.png,"$3,320","Niños, Adolescentes, Adultos",Destreza,Grande,11,5,3,0,impulsado con 2 motores.,-,https://i.imgur.com/obZO2xe.png,https://i.imgur.com/hbEwu87.png,https://i.imgur.com/uB0RtxD.png,https://i.imgur.com/nUHCMPo.png,https://i.imgur.com/uB0RtxD.png,Guadalajara,Por seguridad es apto para un participante de 90Kg.,mayor de 10 años,No,2,Si,1,1013331038,101,333,1038,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
PénduloGuadalajara,in stock,23,Péndulo,-,https://i.imgur.com/93dcC4e.png,"$2,680","Niños, Adolescentes, Adultos",Destreza,Grande,10,5.5,5,0,impulsado con 2 motores.,-,https://i.imgur.com/4xrFVei.png,https://i.imgur.com/Aa5Tmrp.png,https://i.imgur.com/gkuAEdI.png,https://i.imgur.com/8PSsCpq.png,https://i.imgur.com/qxz8Q3d.png,Guadalajara,Por seguridad es apto para un participante de 90Kg,mayores de 8 años.,No,2,Si,1,1013331050,101,333,1050,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
Bungee RunGuadalajara,in stock,24,Bungee Run,-,https://i.imgur.com/TXbpv0p.png,"$2,820","Niños, Adolescentes, Adultos",Destreza,Grande,10.5,4.8,1.9,0,impulsado con 2 motores.,-,https://i.imgur.com/HOjxgLv.png,https://i.imgur.com/uKYGn15.png,https://i.imgur.com/uKYGn15.png,https://i.imgur.com/kTRXa3y.png,https://i.imgur.com/WxkTz2K.png,Guadalajara,Apto para 3 participantes,mayores de 10 años.,No,2,Si,1,1013331040,101,333,1040,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
InflagolGuadalajara,in stock,25,Inflagol,-,https://i.imgur.com/KQ8lQiV.png,"$2,680","Niños, Adolescentes, Adultos",Destreza,Grande,10,5,2.2,0,impulsado con 2 motor.,-,https://i.imgur.com/DKWF0c9.png},https://i.imgur.com/Z3iL9r8.png,https://i.imgur.com/t0EVOfe.png,https://i.imgur.com/cjeAju6.png,https://i.imgur.com/65IfO6I.png,Guadalajara,Apto para 12 participantes,mayores de 5 años.,No,2,Si,4,1013331047,101,333,1047,29/10/2020,Precio de renta por evento de 5 a 6 horas. No incluye balón.,FALSE
GladiadoresGuadalajara,in stock,26,Gladiadores,-,https://i.imgur.com/wYiQjRB.png,"$2,480","Adolescentes, Adultos",Destreza,Grande,0,0,1.3,8,impulsado con 2 motores.,-,https://i.imgur.com/ZLzc56E.png,https://i.imgur.com/ZLzc56E.png,https://i.imgur.com/mMRx4PY.png,https://i.imgur.com/iGZkAQ0.png,https://i.imgur.com/mMRx4PY.png,Guadalajara,Apto para 2 participantes,mayores de 10 años.,No,2,Si,2,1013331045,101,333,1045,29/10/2020,Precio de renta por evento de 5 a 6 horas. El juego incluye dos cotonetes gigantes.,FALSE
Whack-a-MoleGuadalajara,in stock,27,Whack-a-Mole,-,https://i.imgur.com/oew4Nkq.png,"$2,480","Adolescentes, Adultos",Destreza,Mediano,0,0,2.4,6,impulsado con 1 motor.,-,https://i.imgur.com/jVWRw98.png,https://i.imgur.com/jVWRw98.png,https://i.imgur.com/jVWRw98.png,https://i.imgur.com/82aMoaC.png,https://i.imgur.com/jVWRw98.png,Guadalajara,Con capacidad de 7 participantes,mayores de 10 años.,No,1,Si,1,1013331059,101,333,1059,29/10/2020,Precio de renta. Incluye mazo inflable de regalo,FALSE
Human Fut VerdeGuadalajara,in stock,28,Human Fut Verde,-,https://i.imgur.com/IqWOQBc.png,"$2,100","Niños, Adolescentes, Adultos",Destreza,Grande,14,6,1.9,0,impulsado con 1 motor.,-,https://i.imgur.com/t2ipzI9.png,https://i.imgur.com/t2ipzI9.png,https://i.imgur.com/t2ipzI9.png,https://i.imgur.com/t2ipzI9.png,https://i.imgur.com/t2ipzI9.png,Guadalajara,Apto para 10 participantes,mayores de 8 años.,No,1,Si,2,1013331046,101,333,1046,29/10/2020,Precio de renta por evento de 5 a 6 horas. No incluye balón.,FALSE
Human Fut AmarillaGuadalajara,in stock,29,Human Fut Amarilla,-,https://i.ibb.co/cFyTKpV/0007-Miniatura-Cancha-con-6-bumpers-03.png,"$2,100","Niños, Adolescentes, Adultos",Destreza,Grande,14,6,1.9,0,impulsado con 1 motor.,-,https://i.imgur.com/2YLne5W.png,https://i.imgur.com/dyFZ5vQ.png,https://i.imgur.com/2YLne5W.png,https://i.imgur.com/vVDtdvK.png,https://i.imgur.com/vVDtdvK.png,Guadalajara,Apto para 10 participantes,mayores de 8 años.,No,1,Si,2,1013331147,101,333,1147,29/10/2020,Precio de renta por evento de 5 a 6 horas. No incluye balón.,FALSE
TargetGuadalajara,in stock,30,Target,-,https://i.imgur.com/1Xq5YNG.png,"$2,480","Niños, Adolescentes, Adultos",Destreza,Mediano,5,3,4.5,0,impulsado con 1 motor.,-,https://i.imgur.com/gJNs8Lk.png,https://i.imgur.com/gJNs8Lk.png,https://i.imgur.com/V75DxvQ.png,https://i.imgur.com/w5IoqZJ.png,https://i.imgur.com/9awVcAU.png,Guadalajara,Apto para 1 participante por tiro,mayores de 8 años.,No,1,Si,1,1013331057,101,333,1057,29/10/2020,Precio de renta por 6 horas de servicio. Incluye balón de americano o soccer forrado de velcro.,FALSE
Ring de BoxGuadalajara,in stock,31,Ring de Box,-,https://i.imgur.com/epXRdwD.png,"$1,550","Niños, Adolescentes, Adultos",Destreza,Mediano,5.3,5,2.1,0,impulsado con 2 motor.,-,https://i.imgur.com/8jHbYTG.png,https://i.imgur.com/0u18nfO.png,https://i.imgur.com/0u18nfO.png,https://i.imgur.com/njh0qMk.png,https://i.imgur.com/0u18nfO.png,Guadalajara,Apto para 2 participantes,mayores de 7 años.,No,1,Si,2,1013331052,101,333,1052,29/10/2020,Precio de renta por evento de 5 a 6 horas. Incluye 2 pares de guantes gigantes.,FALSE
TiragolGuadalajara,in stock,32,Tiragol,-,https://i.imgur.com/e4OpLjh.png,"$1,380","Niños, Adolescentes, Adultos",Destreza,Mediano,5,4,3,0,impulsado con 1 motor.,-,https://i.imgur.com/4umBiP1.png,https://i.imgur.com/TibJdcp.png,https://i.imgur.com/QGMFyhq.png,https://i.imgur.com/TibJdcp.png,https://i.imgur.com/4umBiP1.png,Guadalajara,Apto para 2 participantes,mayores de 5 años.,No,1,Si,2,1013331056,101,333,1056,29/10/2020,Precio de renta por evento de 5 a 6 horas. No incluye balón.,FALSE
HawaiiGuadalajara,in stock,33,Hawaii,"Más de 20m de diversión dividida en 3 módulos. El primero con opcipon de volverlo acuático o interactivo, y 2 módulos llenos de diversión.",https://i.imgur.com/LUacj4G.png,"$5,900","Niños, Adolescentes, Adultos",Acuático,Extra grande,23,4,6,0,impulsado por 4 motores.,-,https://i.imgur.com/PdiKnkV.png,https://i.imgur.com/1cCu0ta.png,https://i.imgur.com/1OHL2SI.png,https://i.imgur.com/jtyV7Ps.png,https://i.imgur.com/6Plg7w1.png,Guadalajara,Apto para 40 participantes,mayores de 5 años.,No,4,Si,1,1011111010,101,111,1010,29/10/2020,Precio de renta por evento de 5 a 6 horas.,TRUE
Super EskualoGuadalajara,in stock,34,Super Eskualo,El cazador indomable de los mares se vuelve un espacio de juego gigantesco para que tu fiesta sea única y extra divertida.,https://i.imgur.com/JTjjm3x.png,"$4,380","Niños, Adolescentes, Adultos",Acuático,Grande,14,4,7.8,0,impulsado por 3 motores,con opción a instalar a pie de alberca.,https://i.imgur.com/f7tXccb.png,https://i.imgur.com/SylNyy5.png,https://i.imgur.com/m1kAAGe.png,https://i.imgur.com/ANyaz65.png,https://i.imgur.com/yVnJQj9.png,Guadalajara,Apto para 25 participantes,mayores de 7 años.,No,3,Si,2,1011111023,101,111,1023,29/10/2020,Precio de renta por evento de 5 a 6 horas.,TRUE
Safari SlideGuadalajara,in stock,35,Safari Slide,-,https://i.imgur.com/DujkScV.png,"$3,500",Niños,Acuático,Grande,9,4,5,0,impulsado por 2 motores sopladores,con opción a instalar a pie de alberca.,https://i.imgur.com/l2JhFBf.png,https://i.imgur.com/NJVWPVv.png,https://i.imgur.com/QvZObI8.png,https://i.imgur.com/deHzvSm.png,https://i.imgur.com/l2JhFBf.png,Guadalajara,Apto para 18 participantes,mayores de 6 años.,No,2,Si,1,1011111178,101,111,1178,21/4/2023,Precio de renta por evento de 5 a 6 horas.,TRUE
Kawabonga SlideGuadalajara,in stock,36,Kawabonga Slide,-,https://i.imgur.com/sdq1PgW.png,"$3,680",Niños,Acuático,Grande,9,4,5,0,impulsado por 2 motores sopladores,-,https://i.imgur.com/BIRPW6A.png,https://i.imgur.com/ia3nmgD.png,https://i.imgur.com/BIRPW6A.png,https://i.imgur.com/vHHepL0.png,https://i.imgur.com/9STfqwC.png,Guadalajara,Apto para 18 participantes,mayores de 6 años.,No,2,Si,1,1011111177,101,111,1177,21/4/2023,Precio de renta por evento de 5 a 6 horas.,FALSE
Sunshine SlideGuadalajara,in stock,37,Sunshine Slide,-,https://i.imgur.com/GbdxIMR.png,"$3,500","Niños, Adolescentes, Adultos",Acuático,Grande,9,4,6,0,impulsado por 2 motores,con opción a instalar a pie de alberca.,https://i.imgur.com/yoIb31Z.png,https://i.imgur.com/6eA8aPN.png,https://i.imgur.com/HPDRFdA.png,https://i.imgur.com/AnvMsbZ.png,https://i.imgur.com/6eA8aPN.png,Guadalajara,Apto para 18 participantes,mayores de 6 años.,No,2,Si,3,1011111183,101,111,1183,25/3/2024,Precio de renta por evento de 5 a 6 horas.,FALSE
Qbox SlideGuadalajara,in stock,38,Qbox Slide,-,https://i.imgur.com/51kgM6T.png,"$3,500",Niños,Acuático,Grande,11,4,5.5,0,impulsado por 2 motores sopladores,-,https://i.imgur.com/h6zxguQ.png,https://i.imgur.com/Rp6Dvb1.png,https://i.imgur.com/lUoaZGo.png,https://i.imgur.com/Vqnlb9D.png,https://i.imgur.com/Vqnlb9D.png,Guadalajara,Apto para 20 participantes,mayores de 4 años.,No,2,Si,2,1011111176,101,111,1176,21/3/2023,Precio de renta por evento de 5 a 6 horas.,FALSE
Hombre al AguaGuadalajara,in stock,39,Hombre al Agua,El juego ideal para saldar cuentas... Y librarte de ellas. No todos son tan buenos para derribar al jugador a la primera. ¿Tú podrás?,https://i.imgur.com/CKVJlHG.png,"$3,550","Niños, Adolescentes, Adultos",Acuático,Grande,4,4,2,0,no necesita conexión eléctrica y cuenta con capacidad de mil litros de agua.,Controlado por un operador.,https://i.imgur.com/sDdYSrT.png,https://i.imgur.com/sDdYSrT.png,https://i.imgur.com/sDdYSrT.png,https://i.imgur.com/ZWgvFva.png,https://i.imgur.com/sDdYSrT.png,Guadalajara,Apto para un participante a la vez de 90Kg,mayores de 4 años.,Si,0,Si,1,1011111011,101,111,1011,29/10/2020,Precio por 4 horas de servicio con operación entre 9am y 9pm. Incluye una pelota de Softball.,FALSE
Foam PartyGuadalajara,in stock,40,Foam Party,Haz que la diversión suba como la espuma jugando en nuestro Nuevo Foam Party. Diversión que desborda.,https://i.imgur.com/qe6qnQE.png,"$3,200","Niños, Adolescentes, Adultos",Acuático,Grande,4,4,2,0,"impulsado con 1 motor soplador, más 2 conexiones de luz",Controlados por un operador. Requiere toma de agua cercana e instalación un día antes.,https://i.imgur.com/nYqJP2a.png,https://i.imgur.com/nYqJP2a.png,https://i.imgur.com/nYqJP2a.png,https://i.imgur.com/cnHtkz1.png,https://i.imgur.com/nYqJP2a.png,Guadalajara,Con capacidad de 20 participantes,mayores de 6 años.,Si,1,Si,2,1011111140,101,111,1140,29/10/2020,Precio por dos horas de servicio con carga de espuma cada media hora. Operación entre 9am y 9pm.,FALSE
PredatorGuadalajara,in stock,41,Predator,Gran altura. Gran tamaño. Gran diversión. Uno de nuestros acuáticos más altos para sentir toda la adrenalina al deslizarte.,https://i.imgur.com/zMj3l51.png,"$3,100","Niños, Adolescentes, Adultos",Acuático,Grande,12.2,3.2,5.4,0,impulsado por 2 motores,con opción a instalar a pie de alberca.,https://i.imgur.com/AU0t8AT.png,https://i.imgur.com/I4Yo9yW.png,https://i.imgur.com/I4Yo9yW.png,https://i.imgur.com/6PhHyOS.png,https://i.imgur.com/zvJZdQb.png,Guadalajara,Apto para 25 participantes,mayores de 5 años.,No,2,Si,2,1011111017,101,111,1017,29/10/2020,Precio de renta por evento de 5 a 6 horas.,FALSE
